source,target,relationship,followers,platform,layanan,sentiment
00000iykyk,tanyakanrl,mention,0,twitter,Telkomsel,negative
00000iykyk,telkomsel,mention,0,twitter,Telkomsel,negative
0007suga,baummustholahul,mention,0,twitter,Telkomsel,negative
0007suga,telkomsel,mention,0,twitter,Telkomsel,negative
0008_rif,starrcloudy,mention,0,twitter,Telkomsel,neutral
0008_rif,telkomsel,mention,0,twitter,Telkomsel,neutral
00grateful,knderjoyr,retweet,0,twitter,Telkomsel,neutral
00rdinary_,obiwan_catnobi,retweet,0,twitter,Telkomsel,neutral
0104hjj,telkomsel,mention,0,twitter,Telkomsel,negative
01927991m,telkomsel,mention,0,twitter,Telkomsel,negative
0205hamzzi,jiebae25,mention,0,twitter,Telkomsel,neutral
0205hamzzi,tue205pjs,mention,0,twitter,Telkomsel,neutral
022iat,katakhansa,mention,0,twitter,Telkomsel,negative
022iat,tanyakanrl,mention,0,twitter,Telkomsel,negative
022iat,telkomsel,mention,0,twitter,Telkomsel,negative
02fc71ba00c2451,myxl,mention,0,twitter,Telkomsel,neutral
02fc71ba00c2451,telkomsel,mention,0,twitter,Telkomsel,neutral
02thyn,bamucord,mention,0,twitter,Telkomsel,neutral
0405onetwothree,coodoik,retweet,0,twitter,Telkomsel,neutral
0405onetwothree,fbrnsyhn,mention,0,twitter,Telkomsel,neutral
0405onetwothree,myxl,mention,0,twitter,Telkomsel,neutral
0405onetwothree,tanyakanrl,mention,0,twitter,Telkomsel,neutral
0405onetwothree,telkomsel,mention,0,twitter,Telkomsel,neutral
0513_09,telkomsel,mention,0,twitter,Telkomsel,neutral
05panji,akbarfaizal68,mention,0,twitter,Telkomsel,negative
05panji,uneguneglebesmu,retweet,0,twitter,Telkomsel,negative
0631pm,telkomsel,mention,0,twitter,Telkomsel,neutral
07110001,telkomsel,mention,0,twitter,Telkomsel,neutral
07_jjaellies,telkomsel,mention,0,twitter,Telkomsel,neutral
07folders,telkomsel,mention,0,twitter,Telkomsel,neutral
07kazama,telkomindonesia,mention,0,twitter,Telkomsel,negative
07kazama,telkomsel,mention,0,twitter,Telkomsel,negative
082sha,grok,mention,0,twitter,Telkomsel,negative
082sha,telkomsel,mention,0,twitter,Telkomsel,negative
0901newproject,mytelkomselapp,mention,0,twitter,Telkomsel,neutral
0901newproject,telkomsel,mention,0,twitter,Telkomsel,neutral
092jksj,tel,mention,0,twitter,Telkomsel,neutral
092jksj,telkomsel,mention,0,twitter,Telkomsel,neutral
097gguki,telkomsel,mention,0,twitter,Telkomsel,negative
09th__,telkomsel,mention,0,twitter,Telkomsel,negative
0blivee,telkomsel,mention,0,twitter,Telkomsel,neutral
0ceanarlert,telkomsel,mention,0,twitter,Telkomsel,negative
0dnka,gnfi,mention,0,twitter,Telkomsel,negative
0dnka,littlesemongko,retweet,0,twitter,Telkomsel,negative
0jenry1,misallnya,retweet,0,twitter,Telkomsel,neutral
0jenry1,telkomsel,mention,0,twitter,Telkomsel,neutral
0laav_u687,masked_guy_001,mention,0,twitter,Telkomsel,negative
0laav_u687,telkomsel,mention,0,twitter,Telkomsel,negative
0mp0ps0m,baummustholahul,mention,0,twitter,Telkomsel,negative
0mp0ps0m,telkomsel,mention,0,twitter,Telkomsel,negative
0nigiritoge,telkomsel,mention,0,twitter,Telkomsel,neutral
0pinz,telkomsel,mention,0,twitter,Telkomsel,negative
0tsutsukim0n,kompascom,mention,0,twitter,Telkomsel,negative
0tsutsukim0n,telkomindonesia,mention,0,twitter,Telkomsel,negative
0tsutsukim0n,telkomsel,mention,0,twitter,Telkomsel,negative
0x_drake,bitchemical,mention,0,twitter,Telkomsel,positive
0x_drake,indosatim3,mention,0,twitter,Telkomsel,positive
0x_drake,telkomsel,mention,0,twitter,Telkomsel,positive
0x_drake,xlsatu_,mention,0,twitter,Telkomsel,positive
0x_pastaman,telkomsel,mention,0,twitter,Telkomsel,negative
0xardiansah,telkomsel,mention,0,twitter,Telkomsel,negative
0xkannz,keyokpum,mention,0,twitter,Telkomsel,neutral
0xkannz,telkomsel,mention,0,twitter,Telkomsel,neutral
0xkhairulkh,indihome,mention,0,twitter,Telkomsel,negative
0xkhairulkh,telkomsel,mention,0,twitter,Telkomsel,negative
0xkienss,autosultan_team,mention,0,twitter,Telkomsel,negative
0xkotaromiyabi,telkomsel,mention,0,twitter,Telkomsel,negative
0xmaragung,randhudjatie,mention,0,twitter,Telkomsel,neutral
0xmaragung,somexthread,mention,0,twitter,Telkomsel,neutral
0xmaragung,telkomsel,mention,0,twitter,Telkomsel,neutral
0xmorgans,telkomsel,mention,0,twitter,Telkomsel,negative
0xmorgans,velv3tluvv,mention,0,twitter,Telkomsel,negative
0xredactedx0,elonmusk,mention,0,twitter,Telkomsel,negative
0xredactedx0,pertamina,mention,0,twitter,Telkomsel,negative
0xredactedx0,pln_123,mention,0,twitter,Telkomsel,negative
0xredactedx0,selebtwitmobil,mention,0,twitter,Telkomsel,negative
0xredactedx0,starlink,mention,0,twitter,Telkomsel,negative
0xredactedx0,telkomindonesia,mention,0,twitter,Telkomsel,negative
0xredactedx0,telkomsel,mention,0,twitter,Telkomsel,negative
