source,target,relationship,followers,platform,sentiment,content,time,layanan
naomi_diandra86,@indibiz_borneo,mention,38,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung,31/12/2025 16.33.24,IndiBiz
naomi_diandra86,@sapibiru88,mention,38,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung,31/12/2025 16.33.24,IndiBiz
naomi_diandra86,@ameliawy26,mention,38,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung,31/12/2025 16.33.24,IndiBiz
naomi_diandra86,@Hamiah_rahman31,mention,38,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung,31/12/2025 16.33.24,IndiBiz
naomi_diandra86,@indibiz_borneo,mention,38,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKalbar #CiptakanPeluangWujudkanHarapan⁠ #EkosistemSolusiDuniaUsahalndonesia⁠  📌 Join Yuk @sapibiru88 @ameliawy26 @Hamiah_rahman31   📌 Follow Sosmed  @indibiz_borneo   🥰 semoga beruntung,31/12/2025 16.33.24,IndiBiz
Kro2309Kro,@indibiz_borneo,mention,63,twitter,neutral,@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong,31/12/2025 13.08.23,IndiBiz
Kro2309Kro,@14mkin,mention,63,twitter,neutral,@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong,31/12/2025 13.08.23,IndiBiz
Kro2309Kro,@easyynov,mention,63,twitter,neutral,@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong,31/12/2025 13.08.23,IndiBiz
Kro2309Kro,@hokibong,mention,63,twitter,neutral,@indibiz_borneo D - A - B - C   #Indibiz #IndibizBorneo #IndibizKaltim Yuk ikutan  @14mkin  @easyynov  @hokibong,31/12/2025 13.08.23,IndiBiz
FitriYanti925,@indibiz_borneo,mention,383,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 09.40.30,IndiBiz
FitriYanti925,@indibiz_borneo,mention,383,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 09.40.30,IndiBiz
FitriYanti925,@indibiz_kaltim,mention,383,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 09.40.30,IndiBiz
FitriYanti925,@eta73_,mention,383,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 09.40.30,IndiBiz
FitriYanti925,@rini91_mg,mention,383,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @indibiz_borneo @indibiz_kaltim @eta73_ @rini91_mg  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 09.40.30,IndiBiz
radianttt_armor,@indibiz_borneo,mention,80,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 13.25.21,IndiBiz
radianttt_armor,@aldokhan77,mention,80,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 13.25.21,IndiBiz
radianttt_armor,@mang_gayu17,mention,80,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 13.25.21,IndiBiz
radianttt_armor,@Maulaa313,mention,80,twitter,neutral,@indibiz_borneo Urutan D-A-B-C @aldokhan77 @mang_gayu17 @Maulaa313  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 13.25.21,IndiBiz
vievie_salindri,@indibiz_borneo,mention,838,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck,31/12/2025 08.35.08,IndiBiz
vievie_salindri,@indibiz_borneo,mention,838,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck,31/12/2025 08.35.08,IndiBiz
vievie_salindri,@_banyu_biru21,mention,838,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck,31/12/2025 08.35.08,IndiBiz
vievie_salindri,@idamariana49,mention,838,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck,31/12/2025 08.35.08,IndiBiz
vievie_salindri,@naomi_diandra86,mention,838,twitter,neutral,@indibiz_borneo Jawabannya : D - A - B - C  #Indibiz #IndibizBorneo #IndibizKaltimtara  Done follow sosmed @indibiz_borneo  Ikutan  @_banyu_biru21  @idamariana49  @naomi_diandra86   🙏 Wish me luck,31/12/2025 08.35.08,IndiBiz
fitriafebrn,@indibiz_borneo,mention,805,twitter,neutral,@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 08.14.31,IndiBiz
fitriafebrn,@indibiz_borneo,mention,805,twitter,neutral,@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 08.14.31,IndiBiz
fitriafebrn,@indibiz_kaltim,mention,805,twitter,neutral,@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 08.14.31,IndiBiz
fitriafebrn,@pupuputns,mention,805,twitter,neutral,@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 08.14.31,IndiBiz
fitriafebrn,@silviaysd,mention,805,twitter,neutral,@indibiz_borneo D - A -B - C  @indibiz_borneo @indibiz_kaltim  @pupuputns @silviaysd  #Indibiz #IndibizBorneo #IndibizKaltim,31/12/2025 08.14.31,IndiBiz
23Desihar,@Indibiz_ID,mention,123,twitter,positive,@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳,31/12/2025 07.42.11,IndiBiz
23Desihar,@Marcodef99,mention,123,twitter,positive,@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳,31/12/2025 07.42.11,IndiBiz
23Desihar,@bianikah,mention,123,twitter,positive,@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳,31/12/2025 07.42.11,IndiBiz
23Desihar,@eternaljin_,mention,123,twitter,positive,@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳,31/12/2025 07.42.11,IndiBiz
23Desihar,@kamellope,mention,123,twitter,positive,@Indibiz_ID @Marcodef99 @bianikah @eternaljin_ @kamellope Gercep banget min terimakasih banyak udh masuk hadiahnya 🥳,31/12/2025 07.42.11,IndiBiz
vievie_salindri,@Indibizkti,mention,838,twitter,neutral,@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏,31/12/2025 08.38.21,IndiBiz
vievie_salindri,@Indibizkti,mention,838,twitter,neutral,@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏,31/12/2025 08.38.21,IndiBiz
vievie_salindri,@ChellzMoet93,mention,838,twitter,neutral,@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏,31/12/2025 08.38.21,IndiBiz
vievie_salindri,@Anisa__Nisha012,mention,838,twitter,neutral,@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏,31/12/2025 08.38.21,IndiBiz
vievie_salindri,@pandawa_lima83,mention,838,twitter,neutral,@Indibizkti Jawabannya : B. Sobiz  #indibizkti #indibiz #ciptakanpeluangwujudkanharapan   Done follow sosmed @Indibizkti  Ikutan  @ChellzMoet93  @Anisa__Nisha012  @pandawa_lima83   Wish me luck 🙏,31/12/2025 08.38.21,IndiBiz
sanjayaroni283,@indibiz_borneo,mention,342,twitter,neutral,@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin,31/12/2025 04.59.27,IndiBiz
sanjayaroni283,@indibiz_borneo,mention,342,twitter,neutral,@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin,31/12/2025 04.59.27,IndiBiz
sanjayaroni283,@indibiz_kaltim,mention,342,twitter,neutral,@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin,31/12/2025 04.59.27,IndiBiz
sanjayaroni283,@_SekarWangi2025,mention,342,twitter,neutral,@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin,31/12/2025 04.59.27,IndiBiz
sanjayaroni283,@akang_aif5,mention,342,twitter,neutral,@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin,31/12/2025 04.59.27,IndiBiz
sanjayaroni283,@NaanaWiin,mention,342,twitter,neutral,@indibiz_borneo D-A-B-C @indibiz_borneo @indibiz_kaltim #Indibiz #IndibizBorneo #IndibizKaltim @_SekarWangi2025 @akang_aif5 @NaanaWiin,31/12/2025 04.59.27,IndiBiz
anto9990,@Indibiz_ID,mention,654,twitter,neutral,@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩,30/12/2025 03.22.16,IndiBiz
anto9990,@Marcodef99,mention,654,twitter,neutral,@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩,30/12/2025 03.22.16,IndiBiz
anto9990,@23Desihar,mention,654,twitter,neutral,@Indibiz_ID @Marcodef99 @23Desihar @bianikah @eternaljin_ @kamellope 😩,30/12/2025 03.22.16,IndiBiz
