source,target,relationship,followers,platform
indibiz.bali,indibiz,comment,0,tiktok
indibiz.borneo,indibiz,comment,9414,tiktok
indibiz.kti,indibiz,comment,0,tiktok
indibiz.jatengdiy,indibiz,comment,0,tiktok
indibiz.jbn,indibiz,comment,8048,instagram
indibiz.kti,indibiz,comment,10403,instagram
indibiz.id,indibiz,comment,30899,instagram
infoeventekonomi.id,indibiz,comment,15472,instagram
indibiz.id,indibiz,comment,30899,instagram
indibiz.sulbagteng,indibiz,comment,3087,instagram
indibiz.bekasi,indibiz,comment,0,tiktok
pasangindibiz,indibiz,comment,0,tiktok
indibiz.bekasi,indibiz,comment,928,tiktok
haerulhamka01,indibiz,comment,10600,tiktok
sandi_sandoro45,indibiz,comment,570,tiktok
pasangindibiz,indibiz,comment,0,tiktok
indibiz.kti,indibiz,comment,3812,tiktok
indibiz.jbn,indibiz,comment,3332,tiktok
rismanpubg,indibiz,comment,3512,tiktok
indibiz.borneo,indibiz,comment,9414,tiktok
indibiz.telkom.purwodadi,indibiz,comment,217,tiktok
indibiz.kti,indibiz,comment,3812,tiktok
rekomendasi_wifi,indibiz,comment,316,tiktok
dnadigitalm,indibiz,comment,852,tiktok
indibiz.jabotabek,indibiz,comment,1278,tiktok
indibiz.jatengdiy,indibiz,comment,0,tiktok
indibiz.sumatera,indibiz,comment,11274,instagram
indibiz.kaltimtara,indibiz,comment,3385,instagram
indibiz.sulbagteng,indibiz,comment,3087,instagram
indibiz.jbn,indibiz,comment,10820,instagram
arman.anto90,indibiz,comment,304,instagram
jelita_leila02,indibiz,comment,0,instagram
vicky_rompas,indibiz,comment,0,instagram
rstiaprilly_,indibiz,comment,1628,instagram
rstiaprilly_,indibiz,comment,1628,instagram
animosumual,indibiz,comment,69,instagram
hermira16,indibiz,comment,212,instagram
iltorrasyidi,indibiz,comment,72,instagram
vely.angelica,indibiz,comment,1029,instagram
vely.angelica,indibiz,comment,1029,instagram
vely.angelica,indibiz,comment,1029,instagram
matmatmatz,indibiz,comment,233,instagram
sisian_diana,indibiz,comment,358,instagram
sisian_diana,indibiz,comment,358,instagram
mas_tama_agt,indibiz,comment,778,instagram
ratna_ningrum46,indibiz,comment,143,instagram
wulan_amijoyo,indibiz,comment,70,instagram
daratan_teg,indibiz,comment,228,instagram
daratan_teg,indibiz,comment,228,instagram
daratan_teg,indibiz,comment,228,instagram
putputri714,indibiz,comment,904,instagram
cici.heavenly,indibiz,comment,211,instagram
cici.heavenly,indibiz,comment,211,instagram
cici.heavenly,indibiz,comment,211,instagram
cfrilrahmah_,indibiz,comment,1900,instagram
daniella.anna17,indibiz,comment,1128,instagram
daniella.anna17,indibiz,comment,1128,instagram
daniella.anna17,indibiz,comment,1128,instagram
rusna_cc,indibiz,comment,76,instagram
indibiz.sulbagsel,indibiz,comment,3132,instagram
sofiaafitriadnda_,indibiz,comment,3377,instagram
nursantilaosmarito,indibiz,comment,49,instagram
nursantilaosmarito,indibiz,comment,49,instagram
darjaque,indibiz,comment,13746,instagram
darjaque,indibiz,comment,13746,instagram
hanifa_nr4,indibiz,comment,688,instagram
mochamad1990_,indibiz,comment,311,instagram
rubykhayla_07,indibiz,comment,3992,instagram
rubykhayla_07,indibiz,comment,3992,instagram
rubykhayla_07,indibiz,comment,3992,instagram
kzlpnzi,indibiz,comment,1217,instagram
najmasfya,indibiz,comment,266,instagram
ditta.adzra,indibiz,comment,1790,instagram
ansrahma.ynt,indibiz,comment,1505,instagram
ansrahma.ynt,indibiz,comment,1505,instagram
ansrahma.ynt,indibiz,comment,1505,instagram
ansrahma.ynt,indibiz,comment,1505,instagram
chairunnisa2016,indibiz,comment,1,instagram
churiatunnisak,indibiz,comment,2251,instagram
churiatunnisak,indibiz,comment,2251,instagram
churiatunnisak,indibiz,comment,2251,instagram
ersyanaur69,indibiz,comment,0,instagram
cfrilrahmah_,indibiz,comment,1900,instagram
cfrilrahmah_,indibiz,comment,1900,instagram
cfrilrahmah_,indibiz,comment,1900,instagram
syafadias_,indibiz,comment,709,instagram
syafadias_,indibiz,comment,709,instagram
pipinsusilowatii,indibiz,comment,3096,instagram
syafadias_,indibiz,comment,709,instagram
pipinsusilowatii,indibiz,comment,3096,instagram
aprilzahrant,indibiz,comment,2278,instagram
arialexannder,indibiz,comment,2538,instagram
daniati5352,indibiz,comment,3220,instagram
daniati5352,indibiz,comment,3220,instagram
daniati5352,indibiz,comment,3220,instagram
daniati5352,indibiz,comment,3220,instagram
daniati5352,indibiz,comment,3220,instagram
zy.saaaaa_,indibiz,comment,266,instagram
zy.saaaaa_,indibiz,comment,266,instagram
zy.saaaaa_,indibiz,comment,266,instagram
zy.saaaaa_,indibiz,comment,266,instagram
arifah_nuriss26,indibiz,comment,5171,instagram
arifah_nuriss26,indibiz,comment,5171,instagram
arifah_nuriss26,indibiz,comment,5171,instagram
papanyatwinss,indibiz,comment,98,instagram
aliakbarreyhan,indibiz,comment,1075,instagram
helloadtyaa_,indibiz,comment,683,instagram
helloadtyaa_,indibiz,comment,683,instagram
hellodekewina,indibiz,comment,3162,instagram
helloadtyaa_,indibiz,comment,683,instagram
hellodekewina,indibiz,comment,3162,instagram
helloadtyaa_,indibiz,comment,683,instagram
hellodekewina,indibiz,comment,3162,instagram
alfarizkisyakieb,indibiz,comment,1091,instagram
safitri_dsy,indibiz,comment,678,instagram
medinahafidzh,indibiz,comment,1105,instagram
agustin_se11,indibiz,comment,611,instagram
agustin_se11,indibiz,comment,611,instagram
tediprayogaaa,indibiz,comment,784,instagram
muammar.abizar,indibiz,comment,1549,instagram
zahrafatayaaz,indibiz,comment,668,instagram
maskur.winner,indibiz,comment,1934,instagram
maskur.winner,indibiz,comment,1934,instagram
maskur.winner,indibiz,comment,1934,instagram
maskur.winner,indibiz,comment,1934,instagram
maskur.winner,indibiz,comment,1934,instagram
diikyrah,indibiz,comment,510,instagram
diikyrah,indibiz,comment,510,instagram
diikyrah,indibiz,comment,510,instagram
adeanisafh,indibiz,comment,941,instagram
mass.helmiprtmm,indibiz,comment,1035,instagram
zenaalaripin,indibiz,comment,3388,instagram
