sentiment,rank,kata,frekuensi
positive,1,digital,593
positive,2,ciptakanpeluangwujudkanharapan,419
positive,3,selalu,368
positive,4,makin,364
positive,5,yuk,362
positive,6,ikutan,324
positive,7,cepat,293
positive,8,sekolah,291
positive,9,semoga,291
positive,10,hotel,291
positive,11,sukses,288
positive,12,internet,266
positive,13,kebutuhan,239
positive,14,bersama,238
positive,15,sobiz,227
neutral,1,ciptakanpeluangwujudkanharapan,2987
neutral,2,yuk,2660
neutral,3,jawabannya,2080
neutral,4,sekolah,2051
neutral,5,logo,1905
neutral,6,ribu,1900
neutral,7,linkaja,1659
neutral,8,ikutan,1639
neutral,9,semoga,1604
neutral,10,beruntung,1565
neutral,11,ekosistemsolusiduniausahalndonesia,1533
neutral,12,saldo,1481
neutral,13,total,1471
neutral,14,senilai,1469
neutral,15,rupiah,1279
negative,1,ciptakanpeluangwujudkanharapan,25
negative,2,sekarang,23
negative,3,melalui,17
negative,4,bulan,16
negative,5,langganan,16
negative,6,cepat,15
negative,7,harga,15
negative,8,balik,14
negative,9,susun,14
negative,10,kelola,14
negative,11,akses,14
negative,12,seluruh,14
negative,13,file,14
negative,14,kapan,14
negative,15,saja,14
