sentiment,topik,keywords,topic_rank,jumlah_komentar,total_topik,persentase_sentimen,persentase_topik,sentimen_dominan,contoh_komentar,contoh_platform
negative,"Apresiasi, Doa & Dukungan","sekolah, jawabannya, ikutan, logo, yuk, kali, muncul, hotel",1,30,5948,30.6122,47.2326,neutral,"Jawabannya : Ada 12 Tangga Follow dan ikutan yuk @faamrulloh @ialdiyans @larisca_tari  .  🌹🌸 Berpantun dulu nih :  Bunga mawar bunga melati Tumbuhnya di kebun raya Hai @indibiz.id yang baik hati  Boleh dong hadiahnya kasih ke saya  Sebelum berangkat kerja berd|||@Indibiz_ID Jawabannya  Puzzle A  #IndibizID  Yuk ikutan sobat @kxxclypii_  @kalulutmeratus  @bapakenduk12   Sukses dan Jaya selalu @Indibiz_ID  🍭Pergi ke pantai sore hari 🍬Melihat sunset indah sekali 🍭Aku ikuti giveaway ini 🍬Semoga menang dan rezeki|||Siapa sangka, di balik suara emasnya, Raisa punya banyak ladang cuan. Musik jalan, bisnis jalan.   Multi-talent banget! 😎  #indibiz #indibizJBN #CiptakanPeluangWujudkanHarapan https://t.co/ctrHihslso",instagram|||twitter|||twitter
neutral,"Apresiasi, Doa & Dukungan","sekolah, jawabannya, ikutan, logo, yuk, kali, muncul, hotel",1,5129,5948,49.9513,47.2326,neutral,"Internet Indibiz Maksimalkan Operasional dan Kenyamanan Nongkrong di Narasi Coffee✨  Salah satu tempat nongkrong estetik dan populer di Palembang ini sudah menggunakan produk Indibiz dari Telkom Indonesia, yaitu High Speed Internet Bisnis Indibiz untuk membant|||#SobatTelkom, berbagai upaya percepatan pemulihan layanan telekomunikasi pasca bencana di Sumatra Utara dan Aceh terus dilakukan.   Tantangan infrastruktur yang terdampak bencana mempengaruhi kualitas layanan, namun progress perbaikan terus berjalan.   Telkom |||Jawabannya adalah Sebanyak 3 kali muncul    Lari pagi bareng si Rina Gak sadar pake sepatu kebalik Daripada kamu galau merana Lebih baik ikutan kuisnya pasti jauh lebih asik   Mari ramaikan keseruan kuisnya kawan. Sebelum jawab penuhi dulu persyaratannya. Kamu",instagram|||instagram|||instagram
positive,"Apresiasi, Doa & Dukungan","sekolah, jawabannya, ikutan, logo, yuk, kali, muncul, hotel",1,789,5948,35.4288,47.2326,neutral,"Jawabannya adalah : Ada 2 Logo Indibiz Sekolah  . Semoga IndiBiz terus menjadi mitra terbaik bagi para pelaku usaha di Indonesia, menghadirkan layanan digital yang makin cepat, stabil, dan inovatif sehingga bisnis apa pun bisa tumbuh lebih besar dan bersaing d|||Jawabannya : Ada 12 Tangga Menuju Promo Spesial 📌 ..... Yeay akhirnya Mimin ngadain giveaway lagi! Walaupun kemarin belum sempat menang tapi gapapa deh, tujuanku yang utama nih giveaway buat seru-seruan dan membuktikan bahwa aku followers setianya miminn🤩 Semo|||Jawabannya : Ada 12 Tangga Menuju Promo Spesial 📌 ..... Yeay akhirnya Mimin ngadain giveaway lagi! Walaupun kemarin belum sempat menang tapi gapapa deh, tujuanku yang utama nih giveaway buat seru-seruan dan membuktikan bahwa aku followers setianya miminn🤩 Semo",instagram|||instagram|||instagram
negative,"Promo, Event & Program — Ribu & Ciptakanpeluangwujudkanharapan","ribu, ciptakanpeluangwujudkanharapan, cek, beruntung, linkaja, total, sobat, ekosistemsolusiduniausahalndonesia",2,1,2011,1.0204,15.9692,neutral,@TENESA_TELKOM BUKA DM . INDIBIZ TROUBLE .,twitter
neutral,"Promo, Event & Program — Ribu & Ciptakanpeluangwujudkanharapan","ribu, ciptakanpeluangwujudkanharapan, cek, beruntung, linkaja, total, sobat, ekosistemsolusiduniausahalndonesia",2,1857,2011,18.0853,15.9692,neutral,"GIVEAWAY TIME🥳  Pilihlah jawaban yang benar dan dapatkan saldo LinkAja senilai puluhan ribu rupiah untuk 2 orang pemenang🥳  Ikuti syarat dan ketentuannya ya, jangan sampai ada yang terlewat! 👀  Pengumuman pemenang akan diumumkan tanggal 30 November 2025. Semog|||EPIC! PUBG menawarkan pengalaman bermain yang lebih imersif melalui konten eksklusif bertema musik.  PUBG menghadirkan outfit spesial, tantangan ritme, hingga koleksi DRIP edisi terbatas yang menambah warna di medan pertempuran.  #PUBGMobile #BABYMONSTER #Indi|||Tingkatkan citra profesional bisnis dengan layanan TV interaktif dan personal.    IPTV Reseller – Next Play dari Indibiz dirancang untuk mendukung pengalaman pelanggan yang lebih eksklusif.   #Indibiz #CiptakanPeluangWujudkanHarapan #EkosistemSolusiDuniaUsahal",instagram|||twitter|||twitter
positive,"Promo, Event & Program — Ribu & Ciptakanpeluangwujudkanharapan","ribu, ciptakanpeluangwujudkanharapan, cek, beruntung, linkaja, total, sobat, ekosistemsolusiduniausahalndonesia",2,153,2011,6.8702,15.9692,neutral,"Yipieee, #QuizTime lagi bersama Indibiz Borneo & Indibiz Balikpapan!  Kira-kira ini logo dari produk digital apa ya, Sobiz? Coba komen agar kamu bisa menangkan hadiah total ratusan ribu rupiah!  Yuk, ikutan kuis ini sebelum 21 November 2025. Jangan lewatkan se|||Selamat untuk para pemenang Giveaway! 🎉 Thanks banget buat semua yang udah ikutan & ramein timeline!  Setelah cek total engagement, ini dia 4 pemenang dengan aktivitas paling tinggi 👇  🥇 @NursantiL2492 🥈 @MyraNieta 🥉 @MarshyaNurHusna 🏅 @SyakiraNurilahi   #indi|||Kita bedah tuntas 4 fokus utama ✅ Personal Hygiene & Lingkungan ✅ Pengelolaan Bahan Baku ✅ Proses Produksi Aman ✅ Teknik Pengemasan & Manajemen Produk  Jangan Sampai Ketinggalan! Ambil ilmu, tingkatkan mutu, dan sukseskan usaha Anda!  #Indibiz #CiptakanPeluang",twitter|||twitter|||twitter
negative,"Jaringan, Kecepatan & Koneksi","digital, ciptakanpeluangwujudkanharapan, promo, tahun, makin, cepat, melalui, siap",3,38,1634,38.7755,12.9755,neutral,"Halo, Sobiz!  Pada edisi #JOINOnTheSpot kali ini, kami menyambangi Universitas Ottow Geissler Papua yang telah lama mempercayakan layanan Telkom, yakni Astinet dan Indibiz. Kedua solusi ini berperan penting dalam mendukung konektivitas dan kelancaran operasion|||Penasaran dengan tren & strategi branding UMKM untuk menghadapi persaingan di tahun 2026? Webinar ini wajib banget kamu ikuti!⁠ ⁠ 🖼 Mengulik Tren Branding untuk UMKM di 2026⁠ 🗣 Bersama Rizky Cipta A, S.M., M.M –⁠ (Entrepreneur & Content Creator) ⁠ 📅 Senin, 29 |||Internet Indibiz Lancarkan WFA Pelanggan HQ Coffee & Eatery Padang ✨  Salah satu coffeeshop populer dan estetik di Padang ini sudah menggunakan produk Indibiz dari Telkom Indonesia, yaitu High Speed Internet Bisnis Indibiz untuk membantu operasional dan mening",instagram|||tiktok|||instagram
neutral,"Jaringan, Kecepatan & Koneksi","digital, ciptakanpeluangwujudkanharapan, promo, tahun, makin, cepat, melalui, siap",3,821,1634,7.9957,12.9755,neutral,"Meskipun kak @ramadhantifir bekerja di 4 tempat yang berbeda, dia tetap bisa memaksimalkan semua sosial media klien bisnisnya, kok bisa?!   Kebanyakan pebisnis selalu sibuk dengan keperluan bisnis hingga akun sosmed bisnis tidak terurus. Padahal di era digital|||Waktunya UMKM Naik Kelas! 🚀  Punya produk bagus tapi bingung cara jualannya di dunia digital? Tenang, modal HP saja cukup!  Yuk, ikutan BizCademy episode kedua dengan tema Jualan Laris di Era Digital! Kita akan bongkar tuntas Strategi Digital Marketing Praktis|||Mengapa bisnis Anda belum mencapai target? Mungkin saatnya mengubah Pola Pikir!   Pikiran Anda adalah aset terbesar atau penghambat terbesar bisnismu? Karena sebuah kesuksesan bisnis dimulai dari pikiran yang tepat! 🎯  Yuk gabung di Webinar Gratis JOIN Insight",instagram|||instagram|||instagram
positive,"Jaringan, Kecepatan & Koneksi","digital, ciptakanpeluangwujudkanharapan, promo, tahun, makin, cepat, melalui, siap",3,775,1634,34.8002,12.9755,neutral,"Optimalkan mutu dan efisiensi operasional bisnis klinik kamu di Era Digital! 💉💊  Pelajari strategi pengendalian biaya, manajemen layanan primer yang modern, dan dukungan solusi digital Indibiz untuk peningkatan performa bisnis klinik kamu!  Kali ini, kita akan|||📘 JOIN INSIGHT by @indibiz.kti Siap explore dunia edutech lebih dalam? Yuk bergabung dalam sesi inspiratif bertema: ✨ “Explore. Learn. Grow: Inovasi Pembelajaran di Era Teknologi”  Dengan narasumber: 👩‍🏫 Sherly Nurfadya Iskandar Head Branch Educourse.id Makass|||Sebuah kehormatan bagi kami, Telkom Indonesia untuk berpartisipasi dalam The 6th Bioinformatics and Biodiversity Conference 2025 di Institut Teknologi Del, Balige 🚀  Sebuah momen penting di mana teknologi dan pelestarian keanekaragaman hayati bertemu. Kami ban",instagram|||instagram|||instagram
negative,"Promo, Event & Program","jawab, pertanyaan, pemenang, jangan, lupa, yuk, giveaway, orang",4,4,1540,4.0816,12.229,neutral,"pas live di suruh dm tapi pas dm gk mau di buka, kocak2🤣🤣|||gangguanya ko gak udah udah?|||indibiz ga ada lawan",tiktok|||instagram|||instagram
