source,target,relationship,followers,platform,predicted_sentiment,content,date,layanan
paltihutabarat,@pln_123,mention,0,twitter,,,,IndiHome
indihome,@singalauts,mention,0,twitter,,,,IndiHome
icadakimasu,@indihome,mention,0,twitter,,,,IndiHome
icadakimasu,@indihomecare,mention,0,twitter,,,,IndiHome
nastygoyeng,@alviniagutomo,mention,0,twitter,,,,IndiHome
nastygoyeng,@indihome,mention,0,twitter,,,,IndiHome
documenindo,@indihome,mention,0,twitter,,,,IndiHome
sayamahorangeuy,@indihome,mention,0,twitter,,,,IndiHome
dalamseri,@indihome,mention,0,twitter,,,,IndiHome
drincking,@indihome,mention,0,twitter,,,,IndiHome
arlettadev,@indihome,mention,0,twitter,,,,IndiHome
dalamseri,@pepitatao,mention,0,twitter,,,,IndiHome
raynehytam,@indihome,mention,0,twitter,,,,IndiHome
zayiic,@indihome,mention,0,twitter,,,,IndiHome
bgbbyyy,@indihome,mention,0,twitter,,,,IndiHome
angiejnr50204,@indihome,mention,0,twitter,,,,IndiHome
telkomsel,@177maple,mention,0,twitter,,,,IndiHome
telkomsel,@indihome,mention,0,twitter,,,,IndiHome
177maple,@telkomsel,mention,0,twitter,,,,IndiHome
177maple,@indihome,mention,0,twitter,,,,IndiHome
renyuetian,@indihome,mention,0,twitter,,,,IndiHome
telkomsel,@gustiar_b65926,mention,0,twitter,,,,IndiHome
mybandisdendam,@indihome,mention,0,twitter,,,,IndiHome
indihome,@mirazh_me,mention,0,twitter,,,,IndiHome
indihome,@telkomsel,mention,0,twitter,,,,IndiHome
indihome,@telkomindonesia,mention,0,twitter,,,,IndiHome
indihome,@indihomecare,mention,0,twitter,,,,IndiHome
pwxyzxx,@telkomsel,mention,0,twitter,,,,IndiHome
pwxyzxx,@indihome,mention,0,twitter,,,,IndiHome
telkomsel,@pwxyzxx,mention,0,twitter,,,,IndiHome
poseidonadopte,@indihome,mention,0,twitter,,,,IndiHome
barong12300,@indihome,mention,0,twitter,,,,IndiHome
pa_ghani,@indihome,mention,0,twitter,,,,IndiHome
sweetyjww,@indihome,mention,0,twitter,,,,IndiHome
mdffa24,@yizhaniturealya,mention,0,twitter,,,,IndiHome
nwayhom,@indihome,mention,0,twitter,,,,IndiHome
indihome,@hanyakentang7,mention,0,twitter,,,,IndiHome
mieayampoloss,@indihome,mention,0,twitter,,,,IndiHome
indihome,@pa_ghani,mention,0,twitter,,,,IndiHome
putistudie,@indihome,mention,0,twitter,,,,IndiHome
babang_iipan,@indihome,mention,0,twitter,,,,IndiHome
dauzseven,@indihome,mention,0,twitter,,,,IndiHome
hanyakentang7,@indihomecare,mention,0,twitter,,,,IndiHome
emergeshin,@indihome,mention,0,twitter,,,,IndiHome
bahanberacun,@indihome,mention,0,twitter,,,,IndiHome
naevizs,@indihome,mention,0,twitter,,,,IndiHome
deluckypiero,@indihome,mention,0,twitter,,,,IndiHome
masarifa,@indihome,mention,0,twitter,,,,IndiHome
ensoleilley,@indihome,mention,0,twitter,,,,IndiHome
odongodongjak,@indihome,mention,0,twitter,,,,IndiHome
yoppialfiando_,@indihome,mention,0,twitter,,,,IndiHome
yoppialfiando_,@ezeeyh,mention,0,twitter,,,,IndiHome
fery1205,@indihome,mention,0,twitter,,,,IndiHome
ochasada,@limitlesstype,mention,0,twitter,,,,IndiHome
ochasada,@indihomecare,mention,0,twitter,,,,IndiHome
indihome,@ezeeyh,mention,0,twitter,,,,IndiHome
m3cyberr,@indihome,mention,0,twitter,,,,IndiHome
rebahandbacot,@indihome,mention,0,twitter,,,,IndiHome
indihome,@limitlesstype,mention,0,twitter,,,,IndiHome
wayanoktaaa,@indihome,mention,0,twitter,,,,IndiHome
bobbyhrdi,@indihomecare,mention,0,twitter,,,,IndiHome
aelyssian,@indihome,mention,0,twitter,,,,IndiHome
y4hisokaa,@indihome,mention,0,twitter,,,,IndiHome
indihome,@amectripleshots,mention,0,twitter,,,,IndiHome
rizky_yudi12,@indihome,mention,0,twitter,,,,IndiHome
fhmbhqi,@indihome,mention,0,twitter,,,,IndiHome
indihome,@naevizs,mention,0,twitter,,,,IndiHome
gongfoz,@indihome,mention,0,twitter,,,,IndiHome
septhsch,@indihome,mention,0,twitter,,,,IndiHome
hnd3ryc,@indihome,mention,0,twitter,,,,IndiHome
inimancis,@indihomecare,mention,0,twitter,,,,IndiHome
inimancis,@indihome,mention,0,twitter,,,,IndiHome
indihome,@match_alattetea,mention,0,twitter,,,,IndiHome
telkomsel,@anonymia__,mention,0,twitter,,,,IndiHome
indihome,@nwayhom,mention,0,twitter,,,,IndiHome
eskelemhan,@indihome,mention,0,twitter,,,,IndiHome
indihome,@llafortezo,mention,0,twitter,,,,IndiHome
arniarnipw,@indihomecare,mention,0,twitter,,,,IndiHome
rensours,@indihome,mention,0,twitter,,,,IndiHome
indihome,@septhsch,mention,0,twitter,,,,IndiHome
anonymia__,@indihome,mention,0,twitter,,,,IndiHome
anonymia__,@telkomsel,mention,0,twitter,,,,IndiHome
rruonans,@indihome,mention,0,twitter,,,,IndiHome
documenindo,@indihomecare,mention,0,twitter,,,,IndiHome
nycattawin,@indihome,mention,0,twitter,,,,IndiHome
siberinfoa1,@pln_123,mention,0,twitter,,,,IndiHome
hosekaws,@indihome,mention,0,twitter,,,,IndiHome
yc_haluna,@indihome,mention,0,twitter,,,,IndiHome
minhokben,@indihome,mention,0,twitter,,,,IndiHome
emeeowleeo,@indihome,mention,0,twitter,,,,IndiHome
indihome,@rubyejanne,mention,0,twitter,,,,IndiHome
aditamausa65651,@indihome,mention,0,twitter,,,,IndiHome
naritaocta,@stunningandglam,mention,0,twitter,,,,IndiHome
naritaocta,@indihome,mention,0,twitter,,,,IndiHome
simintiri,@indihome,mention,0,twitter,,,,IndiHome
gustiar_b65926,@indihome,mention,0,twitter,,,,IndiHome
darmonot,@indihome,mention,0,twitter,,,,IndiHome
darmonot,@mytelkomselapp,mention,0,twitter,,,,IndiHome
fandyaka,@indihomecare,mention,0,twitter,,,,IndiHome
bosgeng91,@indihome,mention,0,twitter,,,,IndiHome
harurormm,@dearxinlongie,mention,0,twitter,,,,IndiHome
telkomsel,@aquaciyum,mention,0,twitter,,,,IndiHome
frmdiaa,@indihomecare,mention,0,twitter,,,,IndiHome
karwina21,@wonchropi,mention,0,twitter,,,,IndiHome
septhyapm,@indihome,mention,0,twitter,,,,IndiHome
indihome,@hahahastronin,mention,0,twitter,,,,IndiHome
pwhnst,@indihome,mention,0,twitter,,,,IndiHome
nyangzonair,@indihome,mention,0,twitter,,,,IndiHome
khoiv_art,@indihome,mention,0,twitter,,,,IndiHome
saoskeju31,@indihome,mention,0,twitter,,,,IndiHome
claude765746,@indihome,mention,0,twitter,,,,IndiHome
freebismillah,@918spy,mention,0,twitter,,,,IndiHome
freebismillah,@indihome,mention,0,twitter,,,,IndiHome
toktokatok,@indihome,mention,0,twitter,,,,IndiHome
corbetis,@forcortis_,mention,0,twitter,,,,IndiHome
rizkaauliaps,@indihome,mention,0,twitter,,,,IndiHome
ferdyrvld,@indihome,mention,0,twitter,,,,IndiHome
rrddffnn97370,@indihome,mention,0,twitter,,,,IndiHome
vnewsindonesia,@pln_123,mention,0,twitter,,,,IndiHome
eldodys,@pln_123,mention,0,twitter,,,,IndiHome
messengerofdude,@indihome,mention,0,twitter,,,,IndiHome
asmaraajiiwa,@indihome,mention,0,twitter,,,,IndiHome
najah_ulin45402,@indihome,mention,0,twitter,,,,IndiHome
zorudikke,@indihomecare,mention,0,twitter,,,,IndiHome
konitlysh,@indihomecare,mention,0,twitter,,,,IndiHome
konitlysh,@indihome,mention,0,twitter,,,,IndiHome
heroe120503,@indihome,mention,0,twitter,,,,IndiHome
cikiysite,@indihome,mention,0,twitter,,,,IndiHome
918spy,@rolexxkushh,mention,0,twitter,,,,IndiHome
918spy,@freebismillah,mention,0,twitter,,,,IndiHome
918spy,@indihome,mention,0,twitter,,,,IndiHome
bisagitudeh,@indihome,mention,0,twitter,,,,IndiHome
sobatrabi,@indihome,mention,0,twitter,,,,IndiHome
sobatrabi,@indihomecare,mention,0,twitter,,,,IndiHome
_lalalalostyouu,@indihome,mention,0,twitter,,,,IndiHome
adewirasenjaya,@indihomecare,mention,0,twitter,,,,IndiHome
ary638717,@myrepublic_idn,mention,0,twitter,,,,IndiHome
limitlesstype,@indihomecare,mention,0,twitter,,,,IndiHome
cxpungg,@indihome,mention,0,twitter,,,,IndiHome
warungnasinigga,@indihome,mention,0,twitter,,,,IndiHome
nycattawin,@indihomecare,mention,0,twitter,,,,IndiHome
karwina21,@indihome,mention,0,twitter,,,,IndiHome
