source,target,relationship,followers,platform
paltihutabarat,@pln_123,mention,0,twitter
indihome,@singalauts,mention,0,twitter
icadakimasu,@indihome,mention,0,twitter
icadakimasu,@indihomecare,mention,0,twitter
nastygoyeng,@alviniagutomo,mention,0,twitter
nastygoyeng,@indihome,mention,0,twitter
documenindo,@indihome,mention,0,twitter
sayamahorangeuy,@indihome,mention,0,twitter
dalamseri,@indihome,mention,0,twitter
drincking,@indihome,mention,0,twitter
arlettadev,@indihome,mention,0,twitter
dalamseri,@pepitatao,mention,0,twitter
raynehytam,@indihome,mention,0,twitter
zayiic,@indihome,mention,0,twitter
bgbbyyy,@indihome,mention,0,twitter
angiejnr50204,@indihome,mention,0,twitter
telkomsel,@177maple,mention,0,twitter
telkomsel,@indihome,mention,0,twitter
177maple,@telkomsel,mention,0,twitter
177maple,@indihome,mention,0,twitter
renyuetian,@indihome,mention,0,twitter
telkomsel,@gustiar_b65926,mention,0,twitter
mybandisdendam,@indihome,mention,0,twitter
indihome,@mirazh_me,mention,0,twitter
indihome,@telkomsel,mention,0,twitter
indihome,@telkomindonesia,mention,0,twitter
indihome,@indihomecare,mention,0,twitter
pwxyzxx,@telkomsel,mention,0,twitter
pwxyzxx,@indihome,mention,0,twitter
telkomsel,@pwxyzxx,mention,0,twitter
poseidonadopte,@indihome,mention,0,twitter
barong12300,@indihome,mention,0,twitter
pa_ghani,@indihome,mention,0,twitter
sweetyjww,@indihome,mention,0,twitter
mdffa24,@yizhaniturealya,mention,0,twitter
nwayhom,@indihome,mention,0,twitter
indihome,@hanyakentang7,mention,0,twitter
mieayampoloss,@indihome,mention,0,twitter
indihome,@pa_ghani,mention,0,twitter
putistudie,@indihome,mention,0,twitter
babang_iipan,@indihome,mention,0,twitter
dauzseven,@indihome,mention,0,twitter
hanyakentang7,@indihomecare,mention,0,twitter
emergeshin,@indihome,mention,0,twitter
bahanberacun,@indihome,mention,0,twitter
naevizs,@indihome,mention,0,twitter
deluckypiero,@indihome,mention,0,twitter
masarifa,@indihome,mention,0,twitter
ensoleilley,@indihome,mention,0,twitter
odongodongjak,@indihome,mention,0,twitter
yoppialfiando_,@indihome,mention,0,twitter
yoppialfiando_,@ezeeyh,mention,0,twitter
fery1205,@indihome,mention,0,twitter
ochasada,@limitlesstype,mention,0,twitter
ochasada,@indihomecare,mention,0,twitter
indihome,@ezeeyh,mention,0,twitter
m3cyberr,@indihome,mention,0,twitter
rebahandbacot,@indihome,mention,0,twitter
indihome,@limitlesstype,mention,0,twitter
wayanoktaaa,@indihome,mention,0,twitter
bobbyhrdi,@indihomecare,mention,0,twitter
aelyssian,@indihome,mention,0,twitter
y4hisokaa,@indihome,mention,0,twitter
indihome,@amectripleshots,mention,0,twitter
rizky_yudi12,@indihome,mention,0,twitter
fhmbhqi,@indihome,mention,0,twitter
indihome,@naevizs,mention,0,twitter
gongfoz,@indihome,mention,0,twitter
septhsch,@indihome,mention,0,twitter
hnd3ryc,@indihome,mention,0,twitter
inimancis,@indihomecare,mention,0,twitter
inimancis,@indihome,mention,0,twitter
indihome,@match_alattetea,mention,0,twitter
telkomsel,@anonymia__,mention,0,twitter
indihome,@nwayhom,mention,0,twitter
eskelemhan,@indihome,mention,0,twitter
indihome,@llafortezo,mention,0,twitter
arniarnipw,@indihomecare,mention,0,twitter
rensours,@indihome,mention,0,twitter
indihome,@septhsch,mention,0,twitter
anonymia__,@indihome,mention,0,twitter
anonymia__,@telkomsel,mention,0,twitter
rruonans,@indihome,mention,0,twitter
documenindo,@indihomecare,mention,0,twitter
nycattawin,@indihome,mention,0,twitter
siberinfoa1,@pln_123,mention,0,twitter
hosekaws,@indihome,mention,0,twitter
yc_haluna,@indihome,mention,0,twitter
minhokben,@indihome,mention,0,twitter
emeeowleeo,@indihome,mention,0,twitter
indihome,@rubyejanne,mention,0,twitter
aditamausa65651,@indihome,mention,0,twitter
naritaocta,@stunningandglam,mention,0,twitter
naritaocta,@indihome,mention,0,twitter
simintiri,@indihome,mention,0,twitter
gustiar_b65926,@indihome,mention,0,twitter
darmonot,@indihome,mention,0,twitter
darmonot,@mytelkomselapp,mention,0,twitter
fandyaka,@indihomecare,mention,0,twitter
bosgeng91,@indihome,mention,0,twitter
harurormm,@dearxinlongie,mention,0,twitter
telkomsel,@aquaciyum,mention,0,twitter
frmdiaa,@indihomecare,mention,0,twitter
karwina21,@wonchropi,mention,0,twitter
septhyapm,@indihome,mention,0,twitter
indihome,@hahahastronin,mention,0,twitter
pwhnst,@indihome,mention,0,twitter
nyangzonair,@indihome,mention,0,twitter
khoiv_art,@indihome,mention,0,twitter
saoskeju31,@indihome,mention,0,twitter
claude765746,@indihome,mention,0,twitter
freebismillah,@918spy,mention,0,twitter
freebismillah,@indihome,mention,0,twitter
toktokatok,@indihome,mention,0,twitter
corbetis,@forcortis_,mention,0,twitter
rizkaauliaps,@indihome,mention,0,twitter
ferdyrvld,@indihome,mention,0,twitter
rrddffnn97370,@indihome,mention,0,twitter
vnewsindonesia,@pln_123,mention,0,twitter
eldodys,@pln_123,mention,0,twitter
messengerofdude,@indihome,mention,0,twitter
asmaraajiiwa,@indihome,mention,0,twitter
najah_ulin45402,@indihome,mention,0,twitter
zorudikke,@indihomecare,mention,0,twitter
konitlysh,@indihomecare,mention,0,twitter
konitlysh,@indihome,mention,0,twitter
heroe120503,@indihome,mention,0,twitter
cikiysite,@indihome,mention,0,twitter
918spy,@rolexxkushh,mention,0,twitter
918spy,@freebismillah,mention,0,twitter
918spy,@indihome,mention,0,twitter
bisagitudeh,@indihome,mention,0,twitter
sobatrabi,@indihome,mention,0,twitter
sobatrabi,@indihomecare,mention,0,twitter
_lalalalostyouu,@indihome,mention,0,twitter
adewirasenjaya,@indihomecare,mention,0,twitter
ary638717,@myrepublic_idn,mention,0,twitter
limitlesstype,@indihomecare,mention,0,twitter
cxpungg,@indihome,mention,0,twitter
warungnasinigga,@indihome,mention,0,twitter
nycattawin,@indihomecare,mention,0,twitter
karwina21,@indihome,mention,0,twitter
mlewoi,@indihome,mention,0,twitter
mlewoi,@indihomecare,mention,0,twitter
angkringandhl,@indihome,mention,0,twitter
indihome,@apank_disandi,mention,0,twitter
harurormm,@indihome,mention,0,twitter
tidakpunyauang,@yizhaniturealya,mention,0,twitter
tidakpunyauang,@indihome,mention,0,twitter
indihome,@pompomfly,mention,0,twitter
indihome,@indihome,mention,0,twitter
indihome,@gagitugie___,mention,0,twitter
iamyyoouurrss,@indihome,mention,0,twitter
hanaamoonn,@indihome,mention,0,twitter
opalaite,@indihome,mention,0,twitter
hconxy,@indihomejtd,mention,0,twitter
hconxy,@indihome,mention,0,twitter
nassykucink,@indihomecare,mention,0,twitter
indihome,@khoiv_art,mention,0,twitter
indihome,@peachestyng,mention,0,twitter
iitoetes,@indihome,mention,0,twitter
telkomsel,@reanjunie,mention,0,twitter
indihome,@yizhaniturealya,mention,0,twitter
chanfelic,@indihome,mention,0,twitter
peachestyng,@indihome,mention,0,twitter
hp1290895558,@indihome,mention,0,twitter
nodevilnolived,@indihome,mention,0,twitter
kunoichianon,@indihomecare,mention,0,twitter
b4ngda,@indihome,mention,0,twitter
nabillafadis_,@indihome,mention,0,twitter
jaerimfrey,@may212025,mention,0,twitter
jaerimfrey,@cryptowaveid,mention,0,twitter
zorudikke,@indihome,mention,0,twitter
godwspeed,@gokil,mention,0,twitter
destinedtofade,@basebdg,mention,0,twitter
soobiniesweet,@indihome,mention,0,twitter
may212025,@cryptowaveid,mention,0,twitter
indihome,@kimboooyz,mention,0,twitter
tireliye,@indihome,mention,0,twitter
indihome,@j_urneyy,mention,0,twitter
indihome,@masarifa,mention,0,twitter
cxpungg,@indihomen,mention,0,twitter
cxpungg,@indihomecare,mention,0,twitter
alfiditto,@indihome,mention,0,twitter
alfiditto,@indihomecare,mention,0,twitter
indihome,@fchrisabela,mention,0,twitter
indihome,@rampoeng,mention,0,twitter
ismidn,@indihome,mention,0,twitter
lovintyoung,@indihome,mention,0,twitter
salahdimatamuu,@icibosadd,mention,0,twitter
indihome,@thisisnotbisky,mention,0,twitter
rrawwwwwrr,@indihome,mention,0,twitter
dodudukyunggg,@indihomecare,mention,0,twitter
ars_maman,@indihome,mention,0,twitter
thisisnotbisky,@indihome,mention,0,twitter
gagitugie___,@indihome,mention,0,twitter
boomba_yas2,@indihomecare,mention,0,twitter
biebsbangtanbae,@indihomecare,mention,0,twitter
syzygybench,@bayu3bay,mention,0,twitter
syzygybench,@indihome,mention,0,twitter
simintiri,@indihomecare,mention,0,twitter
indihome,@tidakpunyauang,mention,0,twitter
indihome,@nodevilnolived,mention,0,twitter
hi_prilla,@indihomecare,mention,0,twitter
hi_prilla,@telkomsel,mention,0,twitter
indihome,@nassykucink,mention,0,twitter
hahahastronin,@indihome,mention,0,twitter
yizhaniturealya,@indihome,mention,0,twitter
fchrisabela,@indihome,mention,0,twitter
nyonyonobody,@indihome,mention,0,twitter
dalvvr,@indihome,mention,0,twitter
oxvaaaaaaa,@indihome,mention,0,twitter
arningsih85,@indihomecare,mention,0,twitter
yusufgunawan,@bbangshuhoon,mention,0,twitter
yusufgunawan,@infomalang,mention,0,twitter
kimboooyz,@indihome,mention,0,twitter
kimboooyz,@indihomecare,mention,0,twitter
indihome,@dewadewadwipa28,mention,0,twitter
ra_missone,@indihome,mention,0,twitter
bethesunz,@indihome,mention,0,twitter
yukhwook,@rmcsoobin,mention,0,twitter
telkomsel,@modalcepatid,mention,0,twitter
j_urneyy,@indihome,mention,0,twitter
indihome,@nyonyonobody,mention,0,twitter
mabd_m,@indihome,mention,0,twitter
esbekuuuu,@indihome,mention,0,twitter
itsme_lheea,@indihome,mention,0,twitter
itsme_lheea,@kowalskishit,mention,0,twitter
kualarona,@indihome,mention,0,twitter
kowalskishit,@indihome,mention,0,twitter
upasayangwonu,@indihome,mention,0,twitter
densupratama,@indihome,mention,0,twitter
npcno2003,@indihome,mention,0,twitter
nyonyonobody,@indihomecare,mention,0,twitter
rose_rosyana,@telkomsel,mention,0,twitter
indihome,@raafiakhmad_,mention,0,twitter
bagellair15,@indihomecare,mention,0,twitter
bagellair15,@indihome,mention,0,twitter
indihome,@nvamlh,mention,0,twitter
icegreentea_,@indihome,mention,0,twitter
telkomsel,@rose_rosyana,mention,0,twitter
indihome,@heroe120503,mention,0,twitter
rampoeng,@indihome,mention,0,twitter
sadelights,@bermuara_sayang,mention,0,twitter
dewadewadwipa28,@indihomecare,mention,0,twitter
ancur888,@indihome,mention,0,twitter
racauchelsea,@bilal31246770,mention,0,twitter
racauchelsea,@alfiditto,mention,0,twitter
racauchelsea,@indihome,mention,0,twitter
_laeer,@indihome,mention,0,twitter
nnalifie,@indihome,mention,0,twitter
nnalifie,@indihomecare,mention,0,twitter
poocymaxxing,@indihome,mention,0,twitter
lavendrbangtan,@indihome,mention,0,twitter
biebsbangtanbae,@indihome,mention,0,twitter
simp4ny_,@indihome,mention,0,twitter
telkomsel,@miemince,mention,0,twitter
indihome,@n4aayangiee,mention,0,twitter
asyi_i,@indihome,mention,0,twitter
indihome,@asyi_i,mention,0,twitter
picxen_,@itsmeclover_,mention,0,twitter
fibdillah,@indihome,mention,0,twitter
indihome,@kodokijo_muda,mention,0,twitter
indihome,@faisaloka,mention,0,twitter
protegomaxxima,@telkomsel,mention,0,twitter
indihome,@kkyucing,mention,0,twitter
momotaro7106,@indihomecare,mention,0,twitter
momotaro7106,@indihome,mention,0,twitter
nak_djogja,@indihome,mention,0,twitter
indihome,@antontifosi,mention,0,twitter
indihome,@reemoramora,mention,0,twitter
indihome,@lofxxy,mention,0,twitter
hdwjyaa,@indihome,mention,0,twitter
hdwjyaa,@indihomecare,mention,0,twitter
krumkakei,@indihome,mention,0,twitter
indihome,@ittekimazu,mention,0,twitter
miawstudie,@indihome,mention,0,twitter
indihome,@yiciku,mention,0,twitter
amiwxy,@indihome,mention,0,twitter
yoatobi,@indihome,mention,0,twitter
indihome,@dalvvr,mention,0,twitter
serbipart13,@indihome,mention,0,twitter
mfaqihfathoni,@indihome,mention,0,twitter
sibatucadas,@indihome,mention,0,twitter
sibatucadas,@telkomsel,mention,0,twitter
songsmick96,@indihome,mention,0,twitter
indihome,@kbiya_,mention,0,twitter
indihome,@hdwjyaa,mention,0,twitter
rampoeng,@indihomecare,mention,0,twitter
indihome,@nnalifie,mention,0,twitter
indihome,@miawstudie,mention,0,twitter
kualarona,@indihomecare,mention,0,twitter
capyarifasx,@indihome,mention,0,twitter
achkermant,@indihome,mention,0,twitter
cookieztrmsz,@indihome,mention,0,twitter
limajutadollar,@indihome,mention,0,twitter
hermawangilang,@indihome,mention,0,twitter
ayugaken,@indihome,mention,0,twitter
indihome,@whatevahuwantt,mention,0,twitter
hongjis0,@indihome,mention,0,twitter
liab__,@indihome,mention,0,twitter
h_hoi95,@indihome,mention,0,twitter
fluffymoooon,@indihome,mention,0,twitter
ackewest,@indihome,mention,0,twitter
indihome,@serbipart13,mention,0,twitter
heroe120503,@indihomecare,mention,0,twitter
indihome,@mynameisdhea_,mention,0,twitter
mynameisdhea_,@indihome,mention,0,twitter
anggitym,@indihome,mention,0,twitter
kbiya_,@indihomecare,mention,0,twitter
kbiya_,@indihome,mention,0,twitter
catteasan,@indihome,mention,0,twitter
cassiaava,@indihome,mention,0,twitter
cassiaava,@indihomecare,mention,0,twitter
bayu3bay,@indihome,mention,0,twitter
indihome,@creamybruleee,mention,0,twitter
indihome,@mauumakan_,mention,0,twitter
serbipart13,@titinroque,mention,0,twitter
indihome,@bayu3bay,mention,0,twitter
mynameisdhea_,@indihomecare,mention,0,twitter
indihome,@fangfangrizal,mention,0,twitter
indihome,@cisiturepublik,mention,0,twitter
indihome,@achkermant,mention,0,twitter
indihome,@ludensync666,mention,0,twitter
chesstef,@indihome,mention,0,twitter
makeitaquote,@odejale,mention,0,twitter
makeitaquote,@bengkeldodo,mention,0,twitter
makeitaquote,@indihomecare,mention,0,twitter
makeitaquote,@mcpepes_ai,mention,0,twitter
makeitaquote,@indonesiaku_yes,mention,0,twitter
makeitaquote,@fdonghun,mention,0,twitter
makeitaquote,@humaira979,mention,0,twitter
makeitaquote,@xquitavee,mention,0,twitter
makeitaquote,@epricila10,mention,0,twitter
fenny_thejo,@fadli8830,mention,0,twitter
fenny_thejo,@indihomecare,mention,0,twitter
indihome,@burgyisboring,mention,0,twitter
cookieztrmsz,@indihomecare,mention,0,twitter
indihome,@diersssssss,mention,0,twitter
indihome,@talkzch,mention,0,twitter
indihome,@maeryugame,mention,0,twitter
indihome,@ane2eaab,mention,0,twitter
indihome,@brokreasi,mention,0,twitter
indihome,@nalgoticaas,mention,0,twitter
ayugaken,@indihomecare,mention,0,twitter
dekwiintr,@indihomecare,mention,0,twitter
diersssssss,@indihome,mention,0,twitter
diersssssss,@indihomecare,mention,0,twitter
josse891,@masss_indihome,mention,0,twitter
josse891,@mafiawasit,mention,0,twitter
rizkamanda,@telkomsel,mention,0,twitter
rizkamanda,@indihomecare,mention,0,twitter
indihome,@fadli8830,mention,0,twitter
rhincdontypus,@rayytama,mention,0,twitter
demaskofzorro,@tereasy25,mention,0,twitter
tomylim5,@indihome,mention,0,twitter
nalgoticaas,@indihomecare,mention,0,twitter
jciingy,@indihome,mention,0,twitter
indihome,@celsarchives,mention,0,twitter
indihome,@fluffymoooon,mention,0,twitter
milhyaaa,@indihome,mention,0,twitter
indihome,@cic4kkkk,mention,0,twitter
nasikuning0101,@indihome,mention,0,twitter
nalgoticaas,@indihome,mention,0,twitter
indihome,@sohibjeki,mention,0,twitter
indihome,@panggilajadw1,mention,0,twitter
tomylim5,@indihomecare,mention,0,twitter
m_hidayat183,@indihomecare,mention,0,twitter
m_hidayat183,@indihome,mention,0,twitter
m_hidayat183,@telkomjabar,mention,0,twitter
taqtaqia,@indihome,mention,0,twitter
in_makiy,@indihome,mention,0,twitter
indihome,@dismantlepoop,mention,0,twitter
indaaah823,@indihome,mention,0,twitter
dhanirinjani,@picxen_,mention,0,twitter
adefirdaus8656,@indihomecare,mention,0,twitter
adefirdaus8656,@indihome,mention,0,twitter
pakrtgalau,@naevizs,mention,0,twitter
nurkhalidahrs_,@indihome,mention,0,twitter
tidakpunyauang,@indihomecare,mention,0,twitter
tidakpunyauang,@telkomjabar,mention,0,twitter
