rank,username,followers,platform,layanan,degree_centrality,betweenness_centrality,in_degree,out_degree,pagerank,sentiment
1,telkomsel,0,telkomsel,Telkomsel,1.0582034067580313,0.297397140625332,25648,12496,0.27852155044597765,neutral
2,tanyakanrl,0,unknown,Telkomsel,0.02105642789768629,0.0,759,0,0.0069211258837570564,neutral
3,tanyarlfes,0,unknown,Telkomsel,0.008516895078510792,0.0,307,0,0.004127213629203837,neutral
4,telkomindonesia,702548,twitter,Telkomsel,0.05978471952505132,7.224765339621769e-07,2153,2,0.0037197410708175406,neutral
5,pln_123,0,twitter,Telkomsel,0.05739887920989846,0.0008070785360891479,1998,71,0.0033313897884885454,neutral
6,elonmusk,0,unknown,Telkomsel,0.054458192309826334,0.0,1963,0,0.002843341903102182,neutral
7,qrivasi,0,unknown,Telkomsel,0.00954336126061144,0.0,344,0,0.0028384279043304752,neutral
8,starlink,0,unknown,Telkomsel,0.054596903956056146,0.0,1968,0,0.002787585795684165,neutral
9,indihome,550294,twitter,Telkomsel,0.019613826776896187,0.004553191612336431,417,290,0.0027715220519068315,neutral
10,pertamina,0,unknown,Telkomsel,0.054485934639072295,0.0,1964,0,0.0027482010680969535,neutral
11,selebtwitmobil,0,twitter,Telkomsel,0.054569161626810185,0.00013549363970712282,1952,15,0.0025638945077862962,neutral
12,baummustholahul,0,twitter,Telkomsel,0.008239471786051156,2.1674296018865307e-07,295,2,0.002146832076641508,negative
13,myxl,0,twitter,Telkomsel,0.010264661821006492,2.0373838257733388e-05,363,7,0.0017775492213678511,neutral
14,bnpb_indonesia,0,unknown,Telkomsel,0.0003883926094434889,0.0,14,0,0.0017667397519885244,neutral
15,kangmanto123,0,twitter,Telkomsel,0.006713643677523164,4.3348592037730614e-07,240,2,0.001477047724530694,neutral
16,mytelkomselapp,0,unknown,Telkomsel,0.004938134605781502,0.0,178,0,0.0014084622641428615,neutral
17,byu_id,0,twitter,Telkomsel,0.005382011873716917,2.0373838257733388e-05,191,3,0.0013063809088094884,neutral
18,indihomecare,0,unknown,Telkomsel,0.006131054763357931,0.0,221,0,0.001259959119335895,neutral
19,txtdarigajelas,0,unknown,Telkomsel,0.002496809632136714,0.0,90,0,0.0010371206611362225,neutral
20,indosatim3,0,twitter,Telkomsel,0.006103312434111968,7.130843390206685e-05,213,7,0.0010221080471076566,neutral
21,prabowo,0,unknown,Telkomsel,0.006103312434111968,0.0,220,0,0.0009650880519333593,neutral
22,aryanovrianus,0,unknown,Telkomsel,8.322698773789047e-05,0.0,3,0,0.0009214336593003894,neutral
23,ismailfahmi,0,twitter,Telkomsel,0.0009432391943627586,0.0,32,2,0.0008137507342828065,neutral
24,kompascom,2781923,instagram,Telkomsel,0.003107140875547911,0.0,111,1,0.0008085207221757697,positive
25,kemkomdigi,0,unknown,Telkomsel,0.0036897297897131444,0.0,133,0,0.0007522846415073606,neutral
26,kimmyexp,0,twitter,Telkomsel,0.0019419630472174443,8.149535303093355e-05,62,8,0.0007478554221746335,neutral
27,careim3,0,unknown,Telkomsel,0.002441324973644787,0.0,88,0,0.0007477218268386595,neutral
28,triindonesia,0,twitter,Telkomsel,0.0037174721189591076,0.00011863064687658948,115,19,0.0007337028612142118,neutral
29,gibran_tweet,0,unknown,Telkomsel,0.004300061033124341,0.0,155,0,0.0007200258613983472,neutral
30,telkomselhalo,74558,twitter,Telkomsel,0.0028574599123342395,0.0001629907060618671,83,20,0.0006489293139721092,neutral
31,kegblgnunfaedh,0,unknown,Telkomsel,0.002774232924596349,0.0,100,0,0.000645230521972841,neutral
32,idextratime,0,unknown,Telkomsel,0.0019697053764634077,0.0,71,0,0.0006315477594058857,neutral
33,onelove4human,0,twitter,Telkomsel,0.004300061033124341,5.093459564433347e-05,145,10,0.0005988810259328247,negative
34,smartfrenworld,327070,instagram,Telkomsel,0.003107140875547911,0.0,111,1,0.0005714746711697589,neutral
35,i_m_mortal_,0,twitter,Telkomsel,0.0012761471453143205,5.093459564433347e-05,39,7,0.0005388075494954602,neutral
36,joyboy__id,0,twitter,Telkomsel,0.004521999667092049,0.0004919703958015443,125,38,0.0005327453958462479,neutral
37,onnowpurbo,0,unknown,Telkomsel,0.0034955334849914,0.0,126,0,0.0005289962507141916,neutral
38,mytelkomsel,0,unknown,Telkomsel,0.0014426011207901014,0.0,52,0,0.0005138105290504449,neutral
39,indosat,0,twitter,Telkomsel,0.0030239138878100204,6.281933462801126e-05,105,4,0.0005126564641686371,neutral
40,indepensumatera,0,twitter,Telkomsel,0.0030239138878100204,0.0,105,4,0.0005102923337803783,neutral
41,crissbahari,0,unknown,Telkomsel,0.0019697053764634077,0.0,71,0,0.0005033111498744238,neutral
42,billllliiee,0,twitter,Telkomsel,0.0037174721189591076,5.1851640645827704e-05,128,6,0.0004881706332524431,neutral
43,masked_guy_001,0,twitter,Telkomsel,0.0019697053764634077,1.0186919128866694e-05,68,3,0.0004718266243514529,negative
44,fbrnsyhn,0,twitter,Telkomsel,0.0037174721189591076,0.0,132,2,0.00047006530887356234,neutral
45,tempodotco,0,unknown,Telkomsel,0.0018587360594795538,0.0,67,0,0.0004691724895540952,neutral
46,baseconvo,0,unknown,Telkomsel,0.0009432391943627586,0.0,34,0,0.00045999680508306657,neutral
47,obiwan_catnobi,0,unknown,Telkomsel,0.0017477667424957,0.0,63,0,0.00045650785100435903,neutral
48,taufik_q,0,twitter,Telkomsel,0.0016645397547578095,2.1240810098488e-05,59,1,0.0004326358683644607,negative
49,simpati,160058,twitter,Telkomsel,0.0015535704377739555,0.0,47,9,0.000400557526110522,neutral
50,afrou19,0,twitter,Telkomsel,0.00011096931698385396,0.0,2,2,0.00038406181934576744,negative
51,frdipg,0,unknown,Telkomsel,5.548465849192698e-05,0.0,2,0,0.00038390392504310863,neutral
52,warungkopijambu,0,unknown,Telkomsel,2.774232924596349e-05,0.0,1,0,0.00038361322631934737,neutral
53,mandarinfess,0,unknown,Telkomsel,0.0010542085113466127,0.0,38,0,0.0003763636880952783,neutral
54,raputssssz,0,unknown,Telkomsel,5.548465849192698e-05,0.0,2,0,0.00036810290308556817,neutral
55,dwioktariyadi,0,twitter,Telkomsel,0.0019419630472174443,0.0002207165811254449,44,26,0.00032896809552622713,neutral
56,sbyfess,0,unknown,Telkomsel,0.0006935582311490872,0.0,25,0,0.0003257986888330087,neutral
57,dewanmahendraw,0,unknown,Telkomsel,0.0008045275481329412,0.0,29,0,0.0003017831135324274,neutral
58,pasutridoublem,0,twitter,Telkomsel,0.0003051656217055984,0.0,6,5,0.0002866426640212155,neutral
59,felixsgl1,0,twitter,Telkomsel,0.0015535704377739555,0.00027165117676977853,35,21,0.0002861987642610933,neutral
60,tfkbgr,0,twitter,Telkomsel,0.001525828108527992,0.0003463552503814676,27,28,0.00026928655173827224,negative
61,berburusales,0,twitter,Telkomsel,0.0005825889141652333,0.0,20,1,0.0002634919980771219,neutral
62,achehsultanate,0,twitter,Telkomsel,0.0013871164622981744,0.0,49,1,0.0002582245565797278,negative
63,luksskywalkers,0,twitter,Telkomsel,0.001414858791544138,0.0,48,3,0.0002503714317176705,negative
64,rizal_septyan,0,twitter,Telkomsel,0.0016645397547578095,0.00019819217105161745,35,25,0.00024707687813035596,negative
65,sheeeshhtt,0,twitter,Telkomsel,0.0022471286689230425,0.0,79,2,0.00024186731626393937,negative
66,grok,0,twitter,Telkomsel,0.004938134605781502,0.0018661708365583442,31,147,0.0002409147688548191,neutral
67,basebdg,0,unknown,Telkomsel,0.00033290795095156187,0.0,12,0,0.00024041875321306863,neutral
68,hellooktaa__,0,twitter,Telkomsel,0.00011096931698385396,0.0,2,2,0.00023753852656601977,negative
69,axisgsm,0,unknown,Telkomsel,0.001303889474560284,0.0,47,0,0.00023263976068469729,neutral
70,oyontelkomsei,0,twitter,Telkomsel,0.0008322698773789047,0.0001426168678041337,20,10,0.00023232734502331976,neutral
71,northernbluu,0,twitter,Telkomsel,0.00019419630472174444,0.0,3,4,0.0002269820336703879,negative
72,thecuttiepiee,0,twitter,Telkomsel,0.00019419630472174444,0.0,3,4,0.0002269820336703879,negative
73,tvrusaknyaaa,0,twitter,Telkomsel,0.00019419630472174444,0.0,3,4,0.0002269820336703879,neutral
74,iniminneo,0,unknown,Telkomsel,0.001692282084003773,0.0,61,0,0.00022258777057141863,neutral
75,xkode06,0,twitter,Telkomsel,0.0003883926094434889,6.112151477320017e-05,11,3,0.00022125482351641076,neutral
76,roblox_fess,0,unknown,Telkomsel,0.00044387726793541584,0.0,16,0,0.0002200976460831454,neutral
77,xlsmart,0,twitter,Telkomsel,0.00119292015757643,8.998445230498907e-05,21,22,0.0002191660993144373,neutral
78,twistedlovechic,0,twitter,Telkomsel,8.322698773789047e-05,0.0,1,2,0.0002189608220845812,negative
79,khokkiri_,0,twitter,Telkomsel,0.0008877545358708317,0.0,31,1,0.00021384799685459627,negative
80,kdrama_menfess,0,twitter,Telkomsel,0.0013871164622981744,0.0,49,1,0.00020949597964892462,neutral
81,lowpricet96081,0,twitter,Telkomsel,0.0017755090717416634,2.0373838257733388e-05,59,5,0.00020682562229878805,neutral
82,d_and95,0,twitter,Telkomsel,0.0009709815236087221,0.0,33,2,0.0002062178377116066,negative
83,theiraberry,0,unknown,Telkomsel,0.0004993619264273429,0.0,18,0,0.00020506193246078096,neutral
84,shuaashoot,0,twitter,Telkomsel,0.00011096931698385396,0.0,3,1,0.0002033258473041182,negative
85,amandrug,0,twitter,Telkomsel,0.0005548465849192698,0.0,18,2,0.00019251349557133227,neutral
86,3careindonesia,0,twitter,Telkomsel,0.0007490428896410143,2.0373838257733388e-05,25,2,0.00019049525636488676,neutral
87,myorbitid,0,twitter,Telkomsel,0.00044387726793541584,0.0,15,1,0.00018659175680432716,positive
88,tsalathgulam,0,unknown,Telkomsel,0.0003051656217055984,0.0,11,0,0.00018515374417615545,neutral
89,gerqbera,0,unknown,Telkomsel,0.0003883926094434889,0.0,14,0,0.0001788782605326744,neutral
90,cristin_ella,0,twitter,Telkomsel,0.00041613493868945236,2.961057101429583e-07,7,8,0.0001782476235573216,neutral
91,joeline179740,0,twitter,Telkomsel,0.0003883926094434889,0.0,7,7,0.0001782476235573216,neutral
92,brenlysitepu,0,twitter,Telkomsel,0.00044387726793541584,0.0,7,9,0.00017137809622608073,neutral
93,jaksapedia,0,unknown,Telkomsel,0.0006935582311490872,0.0,25,0,0.00017070608422110209,neutral
94,foxtamdoashi,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00016733859899984354,negative
95,coodoik,0,twitter,Telkomsel,0.002441324973644787,0.0,82,6,0.0001654942410042008,negative
96,happylifeplsss,0,twitter,Telkomsel,0.0005271042556733063,0.0,14,5,0.0001618230412277042,negative
97,novendracy,0,twitter,Telkomsel,0.0005271042556733063,0.0,18,1,0.00016116339959747523,negative
98,jiseok_tsel,0,twitter,Telkomsel,0.0006935582311490872,2.0373838257733388e-05,22,3,0.00016040670609719098,neutral
99,chillnrelaxby,0,twitter,Telkomsel,0.00036065028019752535,0.0,6,7,0.00015966991907588306,negative
100,cristiani21ella,0,twitter,Telkomsel,0.00036065028019752535,0.0,6,7,0.00015966991907588306,negative
101,jjenaya3i,0,twitter,Telkomsel,0.00041613493868945236,0.0,6,9,0.00015966991907588306,neutral
102,justmineok,0,twitter,Telkomsel,0.00036065028019752535,0.0,6,7,0.00015966991907588306,neutral
103,prettybell09,0,twitter,Telkomsel,0.00036065028019752535,0.0,6,7,0.00015966991907588306,neutral
104,scrunciscake,0,twitter,Telkomsel,0.00036065028019752535,0.0,6,7,0.00015966991907588306,neutral
105,cutiesanghyeon,0,twitter,Telkomsel,0.00036065028019752535,4.753895593471121e-05,8,5,0.00015935600801397857,neutral
106,thaiperfication,0,twitter,Telkomsel,0.00011096931698385396,0.0,3,1,0.0001574759162528095,neutral
107,ch_chotimah2,0,unknown,Telkomsel,5.548465849192698e-05,0.0,2,0,0.00015740520615287418,neutral
108,ujang_dadi,0,twitter,Telkomsel,0.00044387726793541584,3.0610830547339704e-05,11,5,0.00015700988759169714,neutral
109,snghac,0,twitter,Telkomsel,0.00011096931698385396,0.0,3,1,0.00015634537373973513,negative
110,m4ngu5il,0,unknown,Telkomsel,0.0005271042556733063,0.0,19,0,0.00015466600636601142,neutral
111,safeplacesaa,0,twitter,Telkomsel,0.00011096931698385396,0.0,2,2,0.00015271722830668825,neutral
112,bukannichol,0,twitter,Telkomsel,0.0006103312434111968,0.0,21,1,0.00015119459474341194,negative
113,mlbbfess,0,twitter,Telkomsel,0.0002774232924596349,0.0,9,1,0.00015034363203792164,positive
114,bangjarwosopo7,0,twitter,Telkomsel,0.00019419630472174444,1.0186919128866694e-05,2,5,0.00014990281906342197,negative
115,benjamincesko,0,twitter,Telkomsel,0.0005548465849192698,4.0747676515466776e-05,13,7,0.00014941397910261435,negative
116,misallnya,0,twitter,Telkomsel,0.0009709815236087221,0.0,34,1,0.00014926831436250817,neutral
117,munvess,0,unknown,Telkomsel,0.00024968096321367143,0.0,9,0,0.00014824452214604183,neutral
118,panjul469,0,unknown,Telkomsel,5.548465849192698e-05,0.0,2,0,0.00014801390667039732,neutral
119,callmebackk999,0,twitter,Telkomsel,0.00041613493868945236,0.0,11,4,0.00014435924422100298,negative
120,nclscentff0vr4,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00014434962430497693,negative
121,gopayindonesia,0,unknown,Telkomsel,0.0004993619264273429,0.0,18,0,0.00014146981387447774,neutral
122,sintakayaknyaa,0,unknown,Telkomsel,0.0005548465849192698,0.0,20,0,0.0001403048954193885,neutral
123,keonh0_o,0,twitter,Telkomsel,0.0002774232924596349,4.0747676515466776e-05,6,4,0.00013970386047993543,neutral
124,jembermfs,0,unknown,Telkomsel,0.0002774232924596349,0.0,10,0,0.00013787838568753982,neutral
125,azzamizzulhaq,0,unknown,Telkomsel,0.00036065028019752535,0.0,13,0,0.00013682934754068114,neutral
126,dakjalsoleha,0,twitter,Telkomsel,0.00041613493868945236,0.0,14,1,0.00013496342549038277,negative
127,komedigelaap,0,unknown,Telkomsel,0.0003051656217055984,0.0,11,0,0.00013390678609805028,neutral
128,intinyadeh,0,unknown,Telkomsel,0.0005825889141652333,0.0,21,0,0.00013380799847613757,neutral
129,cfalevel99,0,twitter,Telkomsel,0.0008600122066248682,0.0,23,8,0.00013344521480363077,negative
130,laksamanamaedo,0,twitter,Telkomsel,0.0006103312434111968,0.0,20,2,0.00013334284102181,neutral
131,arsipaja,0,unknown,Telkomsel,0.0006935582311490872,0.0,25,0,0.00013331295602887744,neutral
132,kura2giok,0,twitter,Telkomsel,0.0008600122066248682,8.850337541036671e-05,13,18,0.0001332062827175414,neutral
133,_llyakrykn_,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
134,shomaykukus,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
135,alivcnt,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
136,inhyugk,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
137,clandest11ne,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
138,cuapibara,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
139,danhengg,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
140,miltobio,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,positive
141,dvlruninmyhead,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
142,rxdbluee,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,negative
143,hongchongi,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,0.00013285513695754361,neutral
