rank,username,followers,platform,layanan,degree_centrality,betweenness_centrality,in_degree,out_degree,pagerank,sentiment
1,telkomsel,0,telkomsel,Telkomsel,1.0582034067580313,0.297397140625332,25648,12496,0.27852155044597765,neutral
2,tanyakanrl,0,unknown,Telkomsel,0.02105642789768629,0.0,759,0,0.0069211258837570564,neutral
3,tanyarlfes,0,unknown,Telkomsel,0.008516895078510792,0.0,307,0,0.004127213629203837,neutral
4,telkomindonesia,702548,twitter,Telkomsel,0.05978471952505132,7.224765339621769e-07,2153,2,0.0037197410708175406,neutral
5,pln_123,0,twitter,Telkomsel,0.05739887920989846,0.0008070785360891479,1998,71,0.0033313897884885454,neutral
6,elonmusk,0,unknown,Telkomsel,0.054458192309826334,0.0,1963,0,0.002843341903102182,neutral
7,qrivasi,0,unknown,Telkomsel,0.00954336126061144,0.0,344,0,0.0028384279043304752,neutral
8,starlink,0,unknown,Telkomsel,0.054596903956056146,0.0,1968,0,0.002787585795684165,neutral
9,indihome,550294,twitter,Telkomsel,0.019613826776896187,0.004553191612336431,417,290,0.0027715220519068315,neutral
10,pertamina,0,unknown,Telkomsel,0.054485934639072295,0.0,1964,0,0.0027482010680969535,neutral
